Date,^N225,9983.T
2018-02-21,21970.810546875,41747.203125
2018-02-22,21736.439453125,41154.14453125
2018-02-23,21892.779296875,41494.41796875
2018-02-26,22153.630859375,42324.69921875
2018-02-27,22389.859375,42656.8125
2018-02-28,22068.240234375,41582.3359375
2018-03-01,21724.470703125,41103.69921875
2018-03-02,21181.640625,40029.22265625
2018-03-05,21042.08984375,40947.4140625
2018-03-06,21417.759765625,42100.03515625
2018-03-07,21252.720703125,41484.65625
2018-03-08,21368.0703125,41191.609375
2018-03-09,21469.19921875,41416.2734375
2018-03-12,21824.029296875,42012.125
2018-03-13,21968.099609375,42168.4140625
2018-03-14,21777.2890625,41084.16796875
2018-03-15,21803.94921875,41211.15234375
2018-03-16,21676.509765625,41054.86328125
2018-03-19,21480.900390625,40781.359375
2018-03-20,21380.970703125,40820.4296875
2018-03-21,,40820.4296875
2018-03-22,21591.990234375,41338.13671875
2018-03-23,20617.859375,38739.84765625
2018-03-26,20766.099609375,39238.01953125
2018-03-27,21317.3203125,40087.828125
2018-03-28,21031.310546875,39951.08203125
2018-03-29,21159.080078125,40966.953125
2018-03-30,21454.30078125,42236.7890625
2018-04-02,21388.580078125,42422.37890625
2018-04-03,21292.2890625,42871.7109375
2018-04-04,21319.55078125,44151.3203125
2018-04-05,21645.419921875,45421.15625
2018-04-06,21567.51953125,45196.49609375
2018-04-09,21678.259765625,45538.37109375
2018-04-10,21794.3203125,45469.99609375
2018-04-11,21687.099609375,44883.91796875
2018-04-12,21660.279296875,45811.875
2018-04-13,21778.740234375,45782.56640625
2018-04-16,21835.529296875,44727.625
2018-04-17,21847.58984375,45362.546875
2018-04-18,22158.19921875,46319.8125
2018-04-19,22191.1796875,46007.234375
2018-04-20,22162.240234375,46407.72265625
2018-04-23,22088.0390625,46007.234375
2018-04-24,22278.119140625,45968.15625
2018-04-25,22215.3203125,45968.15625
2018-04-26,22319.609375,46192.828125
2018-04-27,22467.869140625,47091.48046875
2018-04-30,,47091.48046875
2018-05-01,22508.029296875,47902.2265625
2018-05-02,22472.779296875,48078.046875
2018-05-03,,48078.046875
2018-05-04,,48078.046875
2018-05-07,22467.16015625,47716.6328125
2018-05-08,22508.689453125,47599.4140625
2018-05-09,22408.880859375,47716.6328125
2018-05-10,22497.1796875,47521.2734375
2018-05-11,22758.48046875,47892.453125
2018-05-14,22865.859375,47462.6640625
2018-05-15,22818.01953125,48038.98046875
2018-05-16,22717.23046875,47374.75390625
2018-05-17,22838.369140625,47472.4296875
2018-05-18,22930.359375,47697.09765625
2018-05-21,23002.369140625,48156.19140625
2018-05-22,22960.33984375,48419.9296875
2018-05-23,22689.740234375,46720.296875
2018-05-24,22437.009765625,46222.1328125
2018-05-25,22450.7890625,46622.6171875
2018-05-28,22481.08984375,47208.69921875
2018-05-29,22358.4296875,46808.20703125
2018-05-30,22018.51953125,46349.1171875
2018-05-31,22201.8203125,46622.6171875
2018-06-01,22171.349609375,45821.64453125
2018-06-04,22475.939453125,45987.703125
2018-06-05,22539.5390625,46046.30859375
2018-06-06,22625.73046875,47189.16015625
2018-06-07,22823.259765625,48048.74609375
2018-06-08,22694.5,47911.9921875
2018-06-11,22804.0390625,49103.68359375
2018-06-12,22878.349609375,49660.4609375
2018-06-13,22966.380859375,49240.44140625
2018-06-14,22738.609375,48996.23828125
2018-06-15,22851.75,50158.62890625
2018-06-18,22680.330078125,50217.23828125
2018-06-19,22278.48046875,48888.79296875
2018-06-20,22555.4296875,50588.42578125
2018-06-21,22693.0390625,51701.97265625
2018-06-22,22516.830078125,50930.30078125
2018-06-25,22338.150390625,50441.90625
2018-06-26,22342.0,49045.078125
2018-06-27,22271.76953125,49406.4921875
2018-06-28,22270.390625,49758.14453125
2018-06-29,22304.509765625,49728.83984375
2018-07-02,21811.9296875,48302.7109375
2018-07-03,21785.5390625,48644.59375
2018-07-04,21717.0390625,47599.4140625
2018-07-05,21546.990234375,46397.953125
2018-07-06,21788.140625,46651.921875
2018-07-09,22052.1796875,46642.15234375
2018-07-10,22196.890625,47433.359375
2018-07-11,21932.2109375,46319.8125
2018-07-12,22187.9609375,48087.81640625
2018-07-13,22597.349609375,51428.46484375
2018-07-16,22597.349609375,51428.46484375
2018-07-17,22697.359375,51584.7578125
2018-07-18,22794.189453125,52629.93359375
2018-07-19,22764.6796875,51448.00390625
2018-07-20,22697.880859375,51701.97265625
2018-07-23,22396.990234375,48742.2734375
2018-07-24,22510.48046875,48615.2890625
2018-07-25,22614.25,48273.40625
2018-07-26,22586.869140625,47394.28515625
2018-07-27,22712.75,47550.578125
2018-07-30,22544.83984375,46622.6171875
2018-07-31,22553.720703125,47618.953125
2018-08-01,22746.69921875,46925.42578125
2018-08-02,22512.529296875,46222.1328125
2018-08-03,22525.1796875,47159.859375
2018-08-06,22507.3203125,47198.9296875
2018-08-07,22662.740234375,46612.84375
2018-08-08,22644.310546875,46378.421875
2018-08-09,22598.390625,46515.171875
2018-08-10,22298.080078125,46310.0390625
2018-08-13,21857.4296875,45509.06640625
2018-08-14,22356.080078125,47335.6796875
2018-08-15,22204.220703125,47120.7890625
2018-08-16,22192.0390625,48126.8828125
2018-08-17,22270.380859375,47081.71484375
2018-08-20,22199.0,47824.08203125
2018-08-21,22219.73046875,48927.8671875
2018-08-22,22362.55078125,48576.21484375
2018-08-23,22410.8203125,49914.4296875
2018-08-24,22601.76953125,50813.0859375
2018-08-27,22799.640625,51438.2421875
2018-08-28,22813.470703125,50676.3359375
2018-08-29,22848.220703125,50097.34765625
2018-08-30,22869.5,50480.06640625
2018-08-31,22865.150390625,50843.16015625
2018-09-03,22707.380859375,51392.703125
2018-09-04,22696.900390625,51225.87890625
2018-09-05,22580.830078125,52845.08984375
2018-09-06,22487.939453125,53267.06640625
2018-09-07,22307.060546875,52894.16015625
2018-09-10,22373.08984375,52982.4765625
2018-09-11,22664.689453125,54238.59375
2018-09-12,22604.609375,54258.21484375
2018-09-13,22821.3203125,55808.734375
2018-09-14,23094.669921875,57005.96875
2018-09-17,,57005.96875
2018-09-18,23420.5390625,56583.98828125
2018-09-19,23672.51953125,55180.67578125
2018-09-20,23674.9296875,55847.98828125
2018-09-21,23869.9296875,55740.0390625
2018-09-24,,55740.0390625
2018-09-25,23940.259765625,54346.5390625
2018-09-26,24033.7890625,55229.74609375
2018-09-27,23796.740234375,55661.53125
2018-09-28,24120.0390625,56839.13671875
2018-10-01,24245.759765625,57732.15625
2018-10-02,24270.619140625,57162.984375
2018-10-03,24110.9609375,57751.78515625
2018-10-04,23975.619140625,57221.85546875
2018-10-05,23783.720703125,56672.3125
2018-10-08,,56672.3125
2018-10-09,23469.390625,57339.625
2018-10-10,23506.0390625,58684.05859375
2018-10-11,22590.859375,56191.45703125
2018-10-12,22694.66015625,55023.6640625
2018-10-15,22271.30078125,52540.87890625
2018-10-16,22549.240234375,54621.31640625
2018-10-17,22841.119140625,55573.21484375
2018-10-18,22658.16015625,54788.14453125
2018-10-19,22532.080078125,54896.0859375
2018-10-22,22614.8203125,55416.19921875
2018-10-23,22010.779296875,54954.97265625
2018-10-24,22091.1796875,56162.01953125
2018-10-25,21268.73046875,53384.828125
2018-10-26,21184.599609375,54493.73828125
2018-10-29,21149.80078125,54984.41015625
2018-10-30,21457.2890625,56083.5078125
2018-10-31,21920.4609375,56005.00390625
2018-11-01,21687.650390625,56937.2734375
2018-11-02,22243.66015625,59400.4375
